source_index,title,artist_credit,primary_artist,release_groups,isrcs,cover_art_status,apple_music_search,spotify_search,youtube_music_search,musicbrainz_release_group_search,verified_cover_page_urls
41,Hard To Remember -Season0.5- Remix / Bonus Track,AK-69 feat. Eric Bellinger,AK-69,LIVE : live,,needs_api_verification,https://music.apple.com/us/search?term=Hard+To+Remember+-Season0.5-+Remix+%2F+Bonus+Track+AK-69+feat.+Eric+Bellinger,https://open.spotify.com/search/Hard%20To%20Remember%20-Season0.5-%20Remix%20/%20Bonus%20Track%20AK-69%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=Hard+To+Remember+-Season0.5-+Remix+%2F+Bonus+Track+AK-69+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=LIVE+%3A+live&type=release_group&method=indexed,[]
42,Hotbox,Ne-Yo feat. Eric Bellinger,Ne-Yo,GOOD MAN,USUM71805564,needs_api_verification,https://music.apple.com/us/search?term=Hotbox+Ne-Yo+feat.+Eric+Bellinger,https://open.spotify.com/search/Hotbox%20Ne-Yo%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=Hotbox+Ne-Yo+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=GOOD+MAN&type=release_group&method=indexed,[]
43,How I Feel,T.I. feat. Eric Bellinger & Killer Mike,T.I.,The L.I.B.R.A. (Legend Is Back Running Atlanta),USUYG1337008,needs_api_verification,https://music.apple.com/us/search?term=How+I+Feel+T.I.+feat.+Eric+Bellinger+%26+Killer+Mike,https://open.spotify.com/search/How%20I%20Feel%20T.I.%20feat.%20Eric%20Bellinger%20%26%20Killer%20Mike,https://music.youtube.com/search?q=How+I+Feel+T.I.+feat.+Eric+Bellinger+%26+Killer+Mike,https://musicbrainz.org/search?query=The+L.I.B.R.A.+%28Legend+Is+Back+Running+Atlanta%29&type=release_group&method=indexed,[]
44,I Don't Want Her,League of Starz feat. Eric Bellinger & Problem,League of Starz,LOS.FM (Deluxe Edition),USUYG1034992,needs_api_verification,https://music.apple.com/us/search?term=I+Don%27t+Want+Her+League+of+Starz+feat.+Eric+Bellinger+%26+Problem,https://open.spotify.com/search/I%20Don%27t%20Want%20Her%20League%20of%20Starz%20feat.%20Eric%20Bellinger%20%26%20Problem,https://music.youtube.com/search?q=I+Don%27t+Want+Her+League+of+Starz+feat.+Eric+Bellinger+%26+Problem,https://musicbrainz.org/search?query=LOS.FM+%28Deluxe+Edition%29&type=release_group&method=indexed,[]
45,I'm Not Sorry,DEAN feat. Eric Bellinger,DEAN,I'm Not Sorry | SXSW 2016 Showcasing Artists,KRUM71500049,needs_api_verification,https://music.apple.com/us/search?term=I%27m+Not+Sorry+DEAN+feat.+Eric+Bellinger,https://open.spotify.com/search/I%27m%20Not%20Sorry%20DEAN%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=I%27m+Not+Sorry+DEAN+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=I%27m+Not+Sorry&type=release_group&method=indexed,[]
46,Intuition,Selena Gomez & the Scene feat. Eric Bellinger,Selena Gomez & the Scene,A Year Without Rain | When the Sun Goes Down,USHR11031317,needs_api_verification,https://music.apple.com/us/search?term=Intuition+Selena+Gomez+%26+the+Scene+feat.+Eric+Bellinger,https://open.spotify.com/search/Intuition%20Selena%20Gomez%20%26%20the%20Scene%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=Intuition+Selena+Gomez+%26+the+Scene+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=A+Year+Without+Rain&type=release_group&method=indexed,[]
47,Intuition,Selena Gomez & the Scene feat. Eric Bellinger,Selena Gomez & the Scene,A Year Without Rain,USHR12244653,needs_api_verification,https://music.apple.com/us/search?term=Intuition+Selena+Gomez+%26+the+Scene+feat.+Eric+Bellinger,https://open.spotify.com/search/Intuition%20Selena%20Gomez%20%26%20the%20Scene%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=Intuition+Selena+Gomez+%26+the+Scene+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=A+Year+Without+Rain&type=release_group&method=indexed,[]
48,Involved,"Ye Ali, Eric Bellinger & Zae France",Ye Ali,THJ Radio Vol. 1,,needs_api_verification,https://music.apple.com/us/search?term=Involved+Ye+Ali%2C+Eric+Bellinger+%26+Zae+France,https://open.spotify.com/search/Involved%20Ye%20Ali%2C%20Eric%20Bellinger%20%26%20Zae%20France,https://music.youtube.com/search?q=Involved+Ye+Ali%2C+Eric+Bellinger+%26+Zae+France,https://musicbrainz.org/search?query=THJ+Radio+Vol.+1&type=release_group&method=indexed,[]
49,JADED,Mozzy feat. Eric Bellinger,Mozzy,CHILDREN OF THE SLUMS,USA2P2355148 | USA2P2406429,needs_api_verification,https://music.apple.com/us/search?term=JADED+Mozzy+feat.+Eric+Bellinger,https://open.spotify.com/search/JADED%20Mozzy%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=JADED+Mozzy+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=CHILDREN+OF+THE+SLUMS&type=release_group&method=indexed,[]
50,Just in You,Victor Oladipo feat. Eric Bellinger,Victor Oladipo,V.O.,USUYG1223186,needs_api_verification,https://music.apple.com/us/search?term=Just+in+You+Victor+Oladipo+feat.+Eric+Bellinger,https://open.spotify.com/search/Just%20in%20You%20Victor%20Oladipo%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=Just+in+You+Victor+Oladipo+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=V.O.&type=release_group&method=indexed,[]
